dt,rain15,rain60
4/8/2014 0:05,NA,0.04
4/8/2014 3:35,0.01,NA
4/8/2014 4:05,NA,0.01
4/14/2014 22:50,0.03,NA
4/14/2014 23:05,NA,0.03
4/15/2014 3:05,0.03,0.08
4/15/2014 3:20,0.04,NA
4/15/2014 3:35,0.02,NA
4/15/2014 3:50,0.26,NA
4/15/2014 4:05,0.13,0.49
4/15/2014 4:20,0.08,NA
4/15/2014 4:35,0.02,NA
4/15/2014 4:50,0.01,NA
4/15/2014 5:05,NA,0.03
4/15/2014 5:20,0.01,NA
4/15/2014 15:05,0.07,0.2
4/15/2014 15:20,0.13,NA
4/15/2014 15:35,0.01,NA
4/15/2014 15:50,0.03,NA
4/15/2014 16:05,0.02,0.08
4/15/2014 16:20,0.02,NA
4/15/2014 16:35,0.01,NA
4/15/2014 16:50,0.01,NA
4/15/2014 17:05,NA,0.02
4/18/2014 18:05,0.01,0.03
4/18/2014 18:20,0.01,NA
4/18/2014 18:35,0.02,NA
4/18/2014 18:50,0.02,NA
4/18/2014 19:05,0.02,0.09
4/18/2014 19:20,0.03,NA
4/18/2014 19:35,0.03,NA
4/18/2014 19:50,0.05,NA
4/18/2014 20:05,0.04,0.16
4/18/2014 20:20,0.04,NA
4/18/2014 20:35,0.04,NA
4/18/2014 20:50,0.04,NA
4/18/2014 21:05,0.03,0.15
4/18/2014 21:20,0.04,NA
4/18/2014 21:35,0.03,NA
4/18/2014 21:50,0.04,NA
4/18/2014 22:05,0.04,0.15
4/18/2014 22:20,0.04,NA
4/18/2014 22:35,0.03,NA
4/18/2014 22:50,0.01,NA
4/18/2014 23:05,0.01,0.05
4/18/2014 23:35,0.01,NA
4/18/2014 23:50,0.01,NA
4/19/2014 0:05,0.01,0.04
4/19/2014 0:20,0.01,NA
4/19/2014 0:35,0.02,NA
4/19/2014 0:50,0.01,NA
4/19/2014 1:05,0.02,0.07
4/19/2014 1:20,0.02,NA
4/19/2014 1:35,0.03,NA
4/19/2014 1:50,0.02,NA
4/19/2014 2:05,0.02,0.1
4/19/2014 2:20,0.04,NA
4/19/2014 2:35,0.02,NA
4/19/2014 2:50,0.04,NA
4/19/2014 3:05,0.03,0.14
4/19/2014 3:20,0.03,NA
4/19/2014 3:35,0.04,NA
4/19/2014 3:50,0.03,NA
4/19/2014 4:05,0.03,0.11
4/19/2014 4:20,0.02,NA
4/19/2014 4:35,0.04,NA
4/19/2014 4:50,0.05,NA
4/19/2014 5:05,0.03,0.16
4/19/2014 5:20,0.03,NA
4/19/2014 5:35,0.03,NA
4/19/2014 5:50,0.02,NA
4/19/2014 6:05,0.03,0.08
4/19/2014 6:20,0.01,NA
4/19/2014 6:35,0.03,NA
4/19/2014 6:50,0.02,NA
4/19/2014 7:05,0.02,0.08
4/19/2014 7:20,0.01,NA
4/19/2014 7:35,0.02,NA
4/19/2014 7:50,0.01,NA
4/19/2014 8:05,0.01,0.06
4/19/2014 8:20,0.02,NA
4/19/2014 8:35,0.02,NA
4/19/2014 8:50,0.01,NA
4/19/2014 9:05,0.01,0.04
4/19/2014 9:20,0.01,NA
4/19/2014 9:35,0.01,NA
4/19/2014 9:50,0.02,NA
4/19/2014 10:05,0.01,0.05
4/19/2014 10:20,0.01,NA
4/19/2014 10:35,0.01,NA
4/19/2014 10:50,0.01,NA
4/19/2014 11:05,0.01,0.05
4/19/2014 11:20,0.01,NA
4/19/2014 11:35,0.01,NA
4/19/2014 11:50,0.02,NA
4/19/2014 12:05,0.01,0.06
4/19/2014 12:20,0.02,NA
4/19/2014 12:35,0.02,NA
4/19/2014 12:50,0.01,NA
4/19/2014 13:05,0.03,0.06
4/19/2014 13:20,0.01,NA
4/19/2014 13:35,0.01,NA
4/19/2014 13:50,0.01,NA
4/19/2014 14:05,0.01,0.05
4/19/2014 14:20,0.02,NA
4/19/2014 14:50,0.02,NA
4/19/2014 15:05,0.01,0.06
4/19/2014 15:20,0.02,NA
4/19/2014 15:35,0.01,NA
4/19/2014 15:50,0.04,NA
4/19/2014 16:05,0.05,0.11
4/19/2014 16:20,0.02,NA
4/19/2014 16:50,0.04,NA
4/19/2014 17:05,0.07,0.16
4/19/2014 17:20,0.03,NA
4/19/2014 17:35,0.04,NA
4/19/2014 17:50,0.05,NA
4/19/2014 18:05,0.03,0.16
4/19/2014 18:20,0.05,NA
4/19/2014 18:35,0.06,NA
4/19/2014 18:50,0.03,NA
4/19/2014 19:05,0.03,0.14
4/19/2014 19:20,0.03,NA
4/19/2014 19:35,0.01,NA
4/19/2014 19:50,0.02,NA
4/19/2014 20:05,0.03,0.1
4/19/2014 20:20,0.03,NA
4/19/2014 20:35,0.05,NA
4/19/2014 20:50,0.03,NA
4/19/2014 21:05,0.03,0.12
4/19/2014 21:20,0.02,NA
4/19/2014 21:35,0.01,NA
4/19/2014 22:05,0.01,0.05
4/19/2014 22:20,0.03,NA
4/19/2014 22:35,0.02,NA
4/19/2014 22:50,0.02,NA
4/19/2014 23:05,0.03,0.1
4/19/2014 23:20,0.02,NA
4/19/2014 23:35,0.04,NA
4/19/2014 23:50,0.03,NA
4/20/2014 0:05,0.01,0.09
4/20/2014 0:20,0.01,NA
4/20/2014 0:35,0.01,NA
4/20/2014 0:50,0.02,NA
4/20/2014 1:05,0.01,0.03
4/20/2014 2:05,0.01,0.01
4/20/2014 2:35,0.01,NA
4/20/2014 3:05,NA,0.01
4/30/2014 3:05,0.05,0.13
4/30/2014 3:20,0.08,NA
4/30/2014 3:35,0.03,NA
4/30/2014 3:50,0.23,NA
4/30/2014 4:05,NA,0.26
4/30/2014 6:05,NA,0.01
4/30/2014 6:20,0.01,NA
5/9/2014 17:50,0.04,NA
5/9/2014 18:05,0.12,0.16
5/10/2014 14:05,NA,0.02
5/10/2014 14:35,0.24,NA
5/10/2014 15:05,0.01,0.24
5/10/2014 15:20,0.01,NA
5/10/2014 16:05,0.23,0.25
5/10/2014 16:20,0.02,NA
5/10/2014 16:35,0.03,NA
5/10/2014 16:50,0.06,NA
5/10/2014 17:05,0.02,0.14
5/10/2014 17:20,0.02,NA
5/10/2014 17:35,0.01,NA
5/10/2014 19:05,NA,0.01
5/10/2014 19:20,0.01,NA
5/10/2014 19:35,0.1,NA
5/10/2014 19:50,0.01,NA
5/10/2014 20:05,NA,0.11
5/11/2014 4:05,0.01,0.01
5/15/2014 6:50,0.01,NA
5/15/2014 7:05,0.27,0.38
5/15/2014 7:20,0.09,NA
5/15/2014 7:35,0.03,NA
5/15/2014 7:50,0.05,NA
5/15/2014 8:05,0.09,0.24
5/15/2014 8:20,0.06,NA
5/15/2014 8:35,0.06,NA
5/15/2014 8:50,0.08,NA
5/15/2014 9:05,0.07,0.24
5/15/2014 9:20,0.03,NA
5/15/2014 9:35,0.04,NA
5/15/2014 9:50,0.03,NA
5/15/2014 10:05,0.01,0.08
5/15/2014 10:20,0.01,NA
5/15/2014 10:35,0.03,NA
5/15/2014 10:50,0.02,NA
5/15/2014 11:05,0.02,0.07
5/15/2014 11:20,0.01,NA
5/15/2014 12:05,0.01,0.01
5/15/2014 15:05,NA,0.03
5/15/2014 15:20,0.03,NA
5/15/2014 15:50,0.08,NA
5/15/2014 16:05,0.04,0.18
5/15/2014 16:20,0.04,NA
5/15/2014 16:35,0.06,NA
5/15/2014 16:50,0.05,NA
5/15/2014 17:05,0.08,0.23
5/15/2014 17:20,0.05,NA
5/15/2014 17:35,0.02,NA
5/15/2014 17:50,0.01,NA
5/15/2014 18:05,0.02,0.06
5/15/2014 18:20,0.02,NA
5/15/2014 18:35,0.02,NA
5/15/2014 18:50,0.02,NA
