dt,ft,cfs,inches,ftE,cfsE
2017-01-21 10:25,0.002,0,0,0,0
2017-01-21 10:30,0,0,0,0,0
2017-01-21 10:35,0.001,0,0,0,0
2017-01-21 10:40,0.001,0,0,0,0
2017-01-21 10:45,0,0,0,0,0
2017-01-21 10:50,0.001,0,0,0,0
2017-01-21 10:55,0.001,0,0,0,0
2017-01-21 11:00,0,0,0,0,0
2017-01-21 11:05,0.001,0,0,0,0
2017-01-21 11:10,0,0,0,0,0
2017-01-21 11:15,0,0,0,0,0
2017-01-21 11:20,0,0,0,0,0
2017-01-21 11:25,0,0,0,0,0
2017-01-21 11:30,0,0,0,0,0
2017-01-21 11:35,0.003,0,0,0,0
2017-01-21 11:40,0.003,0,0,0,0
2017-01-21 11:45,0.002,0,0,0,0
2017-01-21 11:50,0,0,0,0,0
2017-01-21 11:55,0,0,0,0,0
2017-01-21 12:00,0,0,0,0,0
2017-01-21 12:05,0.003,0,0,0,0
2017-01-21 12:10,0.003,0,0,0,0
2017-01-21 12:15,0,0,0,0,0
2017-01-21 12:20,0,0,0,0,0
2017-01-21 12:25,0,0,0,0,0
2017-01-21 12:30,0.001,0,0,0,0
2017-01-21 12:35,0,0,0,0,0
2017-01-21 12:40,0,0,0,0,0
2017-01-21 12:45,0,0,0,0,0
2017-01-21 12:50,0.001,0,0,0,0
2017-01-21 12:55,0,0,0,0,0
2017-01-21 13:00,0.001,0,0,0,0
2017-01-21 13:05,0,0,0,0,0
2017-01-21 13:10,0,0,0,0,0
2017-01-21 13:15,0,0,0,0,0
2017-01-21 13:20,0.001,0,0,0,0
2017-01-21 13:25,0,0,0,0,0
2017-01-21 13:30,0,0,0,0,0
2017-01-21 13:35,0.001,0,0,0,0
2017-01-21 13:40,0.002,0,0.01,0,0
2017-01-21 13:45,0,0,0.01,0,0
2017-01-21 13:50,0.003,0,0.02,0,0
2017-01-21 13:55,0.003,0,0.01,0,0
2017-01-21 14:00,0.004,0,0.03,0,0
2017-01-21 14:05,0.007,0,0.03,0,0
2017-01-21 14:10,0.011,0,0.05,0,0
2017-01-21 14:15,0.015,0,0.05,0,0
2017-01-21 14:20,0.035,0.001,0.02,0,0
2017-01-21 14:25,0.069,0.005,0.02,0,0
2017-01-21 14:30,0.191,0.069,0.02,0,0
2017-01-21 14:35,0.249,0.134,0.01,0,0
2017-01-21 14:40,0.234,0.114,0.02,0,0
2017-01-21 14:45,0.227,0.107,0.01,0,0
2017-01-21 14:50,0.218,0.096,0.01,0,0
2017-01-21 14:55,0.221,0.099,0,0,0
2017-01-21 15:00,0.214,0.092,0,0,0
2017-01-21 15:05,0.202,0.079,0,0,0
2017-01-21 15:10,0.189,0.067,0,0,0
2017-01-21 15:15,0.168,0.05,0,0,0
2017-01-21 15:20,0.154,0.04,0,0,0
2017-01-21 15:25,0.139,0.031,0.01,0,0
2017-01-21 15:30,0.126,0.025,0.02,0,0
2017-01-21 15:35,0.116,0.02,0.01,0,0
2017-01-21 15:40,0.107,0.016,0,0,0
